parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	distribution	mu	sigma	granularity
k_activator_modifierspeciesreference_1225960_catalyst_1225855	k_activator_modifierspeciesreference_1225960_catalyst_1225855_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1225950	k_forcat_reaction_1225950_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5638137	k_forcat_reaction_5638137_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1225949	k_forcat_reaction_1225949_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637766	k_forcat_reaction_5637766_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637800	k_forcat_reaction_5637800_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1220614	k_forcat_reaction_1220614_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637795	k_forcat_reaction_5637795_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637795_catalyst_5637698	k_activator_modifierspeciesreference_5637795_catalyst_5637698_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1225952	k_forcat_reaction_1225952_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_1225952_catalyst_1225858	k_activator_modifierspeciesreference_1225952_catalyst_1225858_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637808	k_forcat_reaction_5637808_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637808_catalyst_5637704	k_activator_modifierspeciesreference_5637808_catalyst_5637704_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1218833	k_forcat_reaction_1218833_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637801	k_forcat_reaction_5637801_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637801_catalyst_5637693	k_activator_modifierspeciesreference_5637801_catalyst_5637693_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1226016	k_forcat_reaction_1226016_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637796	k_forcat_reaction_5637796_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637796_catalyst_5637701	k_activator_modifierspeciesreference_5637796_catalyst_5637701_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1247841	k_forcat_reaction_1247841_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1248655	k_forcat_reaction_1248655_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_1248655_catalyst_1248010	k_activator_modifierspeciesreference_1248655_catalyst_1248010_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637770	k_forcat_reaction_5637770_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1247844	k_forcat_reaction_1247844_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_1247844_catalyst_1247845	k_activator_modifierspeciesreference_1247844_catalyst_1247845_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1247842	k_forcat_reaction_1247842_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1225956	k_forcat_reaction_1225956_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_1225956_catalyst_1225857	k_activator_modifierspeciesreference_1225956_catalyst_1225857_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_inhibitor_modifierspeciesreference_1225956_negativeregulator_1225855	k_inhibitor_modifierspeciesreference_1225956_negativeregulator_1225855_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637798	k_forcat_reaction_5637798_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1220612	k_forcat_reaction_1220612_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1225957	k_forcat_reaction_1225957_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_1225957_catalyst_1225856	k_activator_modifierspeciesreference_1225957_catalyst_1225856_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637764	k_forcat_reaction_5637764_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1225961	k_forcat_reaction_1225961_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637792	k_forcat_reaction_5637792_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637765	k_forcat_reaction_5637765_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1225951	k_forcat_reaction_1225951_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_1225951_catalyst_1225859	k_activator_modifierspeciesreference_1225951_catalyst_1225859_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1247999	k_forcat_reaction_1247999_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1169421	k_forcat_reaction_1169421_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_1169421_catalyst_1220582	k_activator_modifierspeciesreference_1169421_catalyst_1220582_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637806	k_forcat_reaction_5637806_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_5637806_catalyst_5637697	k_activator_modifierspeciesreference_5637806_catalyst_5637697_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1248002	k_forcat_reaction_1248002_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_5637794	k_forcat_reaction_5637794_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1225947	k_forcat_reaction_1225947_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1220613	k_forcat_reaction_1220613_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1226012	k_forcat_reaction_1226012_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_forcat_reaction_1226014	k_forcat_reaction_1226014_name	log	-20	20	0.0	1	normal	0.0	0.0	0.0
k_activator_modifierspeciesreference_1226014_catalyst_1226013	k_activator_modifierspeciesreference_1226014_catalyst_1226013_name	log	-20	0	0.0	1	normal	0.0	0.0	0.0
scale_parameter	scale_parameter_name	log	0	20	0.0	1	normal	0.0	0.0	0.0
